participant_id,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
subject38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.95951938214005,1.0311869072563198,7,110.49107142857143,110.49107142857143,2.5608914967820904,2.5608914967820904
subject39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.111535406142534,1.1419494560362793,7,84.87723214285714,84.87723214285714,2.2460504238279135,2.2460504238279135
subject3,1.7578125,1.6046559301909165,4.305743688486055,4.113891772243446,1.7241379310344827,1.573915395129788,0.391924757669098,0.4599986370430946,1.1650037316718855,1.8903362009871658,6,94.3359375,96.09375,3.1553700041803734,3.886669676197734
subject40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.582663027227825,0.8599081005716936,7,85.88169642857143,85.88169642857143,4.141512347160597,4.141512347160597
subject41,9.040178571428571,8.36957902696168,23.91806430761516,23.013852845621457,8.571428571428571,7.935600855193297,-0.4940121425153176,0.38883209822426584,0.24630396831550763,1.115643503452602,7,91.90848214285714,100.94866071428571,20.450162683428683,3.0959668541696868
subject42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.827944591929369,0.5766756435354222,7,94.921875,94.921875,6.232536987383801,6.232536987383801
subject43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3652111747228441,0.6328659721931104,7,98.93973214285714,98.93973214285714,4.378358313824338,4.378358313824338
subject44,1.0044642857142858,0.9299532252179646,2.657562700846129,2.5570947606246066,1.2422360248447204,1.1500870804627967,0.8702236517687363,0.22032285215214747,-0.029930412487096585,1.2490981239927765,7,81.86383928571429,82.86830357142857,4.869321285351223,3.6906374472737613
subject45,1.0044642857142858,0.6002822256701754,1.8791806071967339,1.4527102944571262,0.8530685001273236,0.5098854298129085,0.9843832671610518,0.07872684844871315,2.4638802134061257,0.9547443338166192,7,108.48214285714286,109.48660714285714,6.3527899423025485,7.381274894547523
subject46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.002274726448495,1.3386562965636408,7,96.93080357142857,96.93080357142857,4.141512347160596,4.141512347160596
subject47,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,6.664001874625056e-09,3.393008379657678,0.707928033847946,7,110.49107142857143,110.49107142857143,6.470808512306146,6.470808512306146
subject48,0.5859375,0.5348853100636388,1.4352478961620183,1.3712972574144822,0.6666666666666667,0.6085806194501845,0.6324555320336759,0.3872983346207417,1.3375485957553248,0.7404724754618995,6,90.8203125,90.234375,1.3101960805662831,1.6572815184059708
subject49,0.5022321428571429,0.4649766126089824,1.3287813504230646,1.2785473803123033,0.5291005291005291,0.4898519046415615,0.962533421879622,0.12126781251816628,2.5476299897084216,0.6214168337791607,7,87.38839285714286,87.890625,2.9284914650450724,3.7583612143934677
subject4,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,8.603189426505949e-09,-1.0067718653824402,1.4886684600448759,5,100.546875,100.546875,11.02808470876743,11.02808470876743
subject5,0.703125,0.6288941186718158,1.5722352966795397,1.4869283392132933,0.6896551724137931,0.6168463386206315,0.9316949906249123,0.20971762320196533,4.480473559493954,1.0491996318155388,5,97.734375,98.4375,3.444594950788844,3.8511742324581992
subject8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9294094306114355,0.7060290454698542,7,113.00223214285714,113.00223214285714,2.2460504238279135,2.2460504238279135
subject9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.690272412763185,1.2860171571302352,7,107.97991071428571,107.97991071428571,5.856982930090145,5.856982930090145
